Chr	Start	End	Value
SU1206_chr01	144000	145000	1
SU1206_chr01	145000	146000	1
SU1206_chr01	146000	147000	1
SU1206_chr01	147000	148000	1
SU1206_chr01	148000	149000	1
SU1206_chr01	149000	150000	2
SU1206_chr01	150000	151000	1
SU1206_chr01	151000	152000	1
SU1206_chr01	152000	153000	1
SU1206_chr01	153000	154000	0
SU1206_chr01	154000	155000	0
SU1206_chr01	155000	156000	1
SU1206_chr01	156000	157000	1
SU1206_chr01	157000	158000	0
SU1206_chr01	158000	159000	0
SU1206_chr01	159000	160000	1
SU1206_chr01	160000	161000	1
SU1206_chr01	161000	162000	1
SU1206_chr01	162000	163000	1
SU1206_chr01	163000	164000	1
SU1206_chr01	164000	165000	2
SU1206_chr01	165000	166000	1
SU1206_chr01	166000	167000	1
SU1206_chr01	167000	168000	1
SU1206_chr01	168000	169000	1
SU1206_chr01	169000	170000	1
SU1206_chr01	170000	171000	1
SU1206_chr01	171000	172000	2
SU1206_chr01	172000	173000	0
SU1206_chr01	173000	174000	1
SU1206_chr01	174000	175000	0
SU1206_chr01	175000	176000	1
SU1206_chr01	176000	177000	1
SU1206_chr01	177000	178000	0
SU1206_chr01	178000	179000	0
SU1206_chr01	179000	180000	0
SU1206_chr01	180000	181000	0
SU1206_chr01	181000	182000	0
SU1206_chr01	182000	183000	1
SU1206_chr01	183000	184000	1
SU1206_chr01	184000	185000	1
SU1206_chr01	185000	186000	1
SU1206_chr01	186000	187000	1
SU1206_chr01	187000	188000	1
SU1206_chr01	188000	189000	1
SU1206_chr01	189000	190000	1
SU1206_chr01	190000	191000	1
SU1206_chr01	191000	192000	0
SU1206_chr01	192000	193000	0
SU1206_chr01	193000	194000	0
SU1206_chr01	194000	195000	1
SU1206_chr01	195000	196000	1
SU1206_chr01	196000	197000	1
SU1206_chr01	197000	198000	1
SU1206_chr01	198000	199000	1
SU1206_chr01	199000	200000	1
SU1206_chr01	200000	201000	1
SU1206_chr01	201000	202000	1
SU1206_chr01	202000	203000	0
SU1206_chr01	203000	204000	1
SU1206_chr01	204000	205000	0
SU1206_chr01	205000	206000	0
SU1206_chr01	206000	207000	0
SU1206_chr01	207000	208000	1
SU1206_chr01	208000	209000	1
SU1206_chr01	209000	210000	0
SU1206_chr01	210000	211000	0
SU1206_chr01	211000	212000	1
SU1206_chr01	212000	213000	1
SU1206_chr01	213000	214000	1
SU1206_chr01	214000	215000	1
SU1206_chr01	215000	216000	0
SU1206_chr01	216000	217000	0
SU1206_chr01	217000	218000	0
SU1206_chr01	218000	219000	0
SU1206_chr01	219000	219112	0
SU1206_chr02	0	1000	0
SU1206_chr02	1000	2000	0
SU1206_chr02	2000	3000	0
SU1206_chr02	3000	4000	0
SU1206_chr02	4000	5000	0
SU1206_chr02	5000	6000	0
SU1206_chr02	6000	7000	1
SU1206_chr02	7000	8000	1
SU1206_chr02	8000	9000	1
SU1206_chr02	9000	10000	1
SU1206_chr02	10000	11000	1
SU1206_chr02	11000	12000	1
SU1206_chr02	12000	13000	1
SU1206_chr02	13000	14000	2
SU1206_chr02	14000	15000	1
SU1206_chr02	15000	16000	0
SU1206_chr02	16000	17000	0
SU1206_chr02	17000	18000	1
SU1206_chr02	18000	19000	1
SU1206_chr02	19000	20000	0
SU1206_chr02	20000	21000	1
SU1206_chr02	21000	22000	2
SU1206_chr02	22000	23000	1
SU1206_chr02	23000	24000	1
SU1206_chr02	24000	25000	1
SU1206_chr02	25000	26000	1
SU1206_chr02	26000	27000	1
SU1206_chr02	27000	28000	1
SU1206_chr02	28000	29000	1
SU1206_chr02	29000	30000	1
SU1206_chr02	30000	31000	1
SU1206_chr02	31000	32000	1
SU1206_chr02	32000	33000	2
SU1206_chr02	33000	34000	1
SU1206_chr02	34000	35000	2
SU1206_chr02	35000	36000	2
SU1206_chr02	36000	37000	1
SU1206_chr02	37000	38000	1
SU1206_chr02	38000	39000	1
SU1206_chr02	39000	40000	1
SU1206_chr02	40000	41000	0
SU1206_chr02	41000	42000	1
SU1206_chr02	42000	43000	1
SU1206_chr02	43000	44000	1
SU1206_chr02	44000	45000	2
SU1206_chr02	45000	46000	1
SU1206_chr02	46000	47000	1
SU1206_chr02	47000	48000	2
SU1206_chr02	48000	49000	2
SU1206_chr02	49000	50000	1
SU1206_chr02	50000	51000	1
SU1206_chr02	51000	52000	2
SU1206_chr02	52000	53000	1
SU1206_chr02	53000	54000	2
SU1206_chr02	54000	55000	1
SU1206_chr02	55000	56000	2
SU1206_chr02	56000	57000	1
SU1206_chr02	57000	58000	1
SU1206_chr02	58000	59000	1
SU1206_chr02	59000	60000	1
SU1206_chr02	60000	61000	1
SU1206_chr02	61000	62000	1
SU1206_chr02	62000	63000	1
SU1206_chr02	63000	64000	1
SU1206_chr02	64000	65000	1
SU1206_chr02	65000	66000	2
SU1206_chr02	66000	67000	1
SU1206_chr02	67000	68000	0
SU1206_chr02	68000	69000	1
SU1206_chr02	69000	70000	1
SU1206_chr02	70000	71000	1
SU1206_chr02	71000	72000	2
SU1206_chr02	72000	73000	1
SU1206_chr02	73000	74000	1
SU1206_chr02	74000	75000	1
SU1206_chr02	75000	76000	1
SU1206_chr02	76000	77000	1
SU1206_chr02	77000	78000	2
SU1206_chr02	78000	79000	1
SU1206_chr02	79000	80000	2
SU1206_chr02	80000	81000	1
SU1206_chr02	81000	82000	1
SU1206_chr02	82000	83000	1
SU1206_chr02	83000	84000	1
SU1206_chr02	84000	85000	2
SU1206_chr02	85000	86000	2
SU1206_chr02	86000	87000	1
SU1206_chr02	87000	88000	1
SU1206_chr02	88000	89000	2
SU1206_chr02	89000	90000	1
SU1206_chr02	90000	91000	1
SU1206_chr02	91000	92000	1
SU1206_chr02	92000	93000	2
SU1206_chr02	93000	94000	1
SU1206_chr02	94000	95000	1
SU1206_chr02	95000	96000	1
SU1206_chr02	96000	97000	2
SU1206_chr02	97000	98000	1
SU1206_chr02	98000	99000	1
SU1206_chr02	99000	100000	1
SU1206_chr02	100000	101000	1
SU1206_chr02	101000	102000	1
SU1206_chr02	102000	103000	1
SU1206_chr02	103000	104000	1
SU1206_chr02	104000	105000	2
SU1206_chr02	105000	106000	1
SU1206_chr02	106000	107000	1
SU1206_chr02	107000	108000	1
SU1206_chr02	108000	109000	1
SU1206_chr02	109000	110000	2
SU1206_chr02	110000	111000	1
SU1206_chr02	111000	112000	1
SU1206_chr02	112000	113000	1
SU1206_chr02	113000	114000	1
SU1206_chr02	114000	115000	2
SU1206_chr02	115000	116000	2
SU1206_chr02	116000	117000	1
SU1206_chr02	117000	118000	2
SU1206_chr02	118000	119000	2
SU1206_chr02	119000	120000	1
SU1206_chr02	120000	121000	1
SU1206_chr02	121000	122000	1
SU1206_chr02	122000	123000	1
SU1206_chr02	123000	124000	1
SU1206_chr02	124000	125000	1
SU1206_chr02	125000	126000	1
SU1206_chr02	126000	127000	1
SU1206_chr02	127000	128000	1
SU1206_chr02	128000	129000	1
SU1206_chr02	129000	130000	2
SU1206_chr02	130000	131000	1
SU1206_chr02	131000	132000	1
SU1206_chr02	132000	133000	2
SU1206_chr02	133000	134000	1
SU1206_chr02	134000	135000	1
SU1206_chr02	135000	136000	1
SU1206_chr02	136000	137000	1
SU1206_chr02	137000	138000	1
SU1206_chr02	138000	139000	2
SU1206_chr02	139000	140000	1
SU1206_chr02	140000	141000	2
SU1206_chr02	141000	142000	2
SU1206_chr02	142000	143000	2
SU1206_chr02	143000	144000	1
SU1206_chr02	144000	145000	1
SU1206_chr02	145000	146000	1
SU1206_chr02	146000	147000	1
SU1206_chr02	147000	148000	1
SU1206_chr02	148000	149000	2
SU1206_chr02	149000	150000	1
SU1206_chr02	150000	151000	2
SU1206_chr02	151000	152000	1
SU1206_chr02	152000	153000	1
SU1206_chr02	153000	154000	1
SU1206_chr02	154000	155000	1
SU1206_chr02	155000	156000	1
SU1206_chr02	156000	157000	1
SU1206_chr02	157000	158000	2
SU1206_chr02	158000	159000	2
SU1206_chr02	159000	160000	1
SU1206_chr02	160000	161000	2
SU1206_chr02	161000	162000	1
SU1206_chr02	162000	163000	1
SU1206_chr02	163000	164000	1
SU1206_chr02	164000	165000	1
SU1206_chr02	165000	166000	2
SU1206_chr02	166000	167000	1
SU1206_chr02	167000	168000	1
SU1206_chr02	168000	169000	2
SU1206_chr02	169000	170000	2
SU1206_chr02	170000	171000	1
SU1206_chr02	171000	172000	1
SU1206_chr02	172000	173000	1
SU1206_chr02	173000	174000	1
SU1206_chr02	174000	175000	2
SU1206_chr02	175000	176000	1
SU1206_chr02	176000	177000	2
SU1206_chr02	177000	178000	1
SU1206_chr02	178000	179000	1
SU1206_chr02	179000	180000	1
SU1206_chr02	180000	181000	1
SU1206_chr02	181000	182000	2
SU1206_chr02	182000	183000	1
SU1206_chr02	183000	184000	1
SU1206_chr02	184000	185000	2
SU1206_chr02	185000	186000	1
SU1206_chr02	186000	187000	1
SU1206_chr02	187000	188000	1
SU1206_chr02	188000	189000	2
SU1206_chr02	189000	190000	1
SU1206_chr02	190000	191000	1
SU1206_chr02	191000	192000	1
SU1206_chr02	192000	193000	1
SU1206_chr02	193000	194000	1
SU1206_chr02	194000	195000	1
SU1206_chr02	195000	196000	1
SU1206_chr02	196000	197000	1
SU1206_chr02	197000	198000	1
SU1206_chr02	198000	199000	2
SU1206_chr02	199000	200000	1
SU1206_chr02	200000	201000	1
SU1206_chr02	201000	202000	1
SU1206_chr02	202000	203000	1
SU1206_chr02	203000	204000	1
SU1206_chr02	204000	205000	1
SU1206_chr02	205000	206000	1
SU1206_chr02	206000	207000	1
SU1206_chr02	207000	208000	1
SU1206_chr02	208000	209000	0
SU1206_chr02	209000	210000	0
SU1206_chr02	210000	211000	1
SU1206_chr02	211000	212000	1
SU1206_chr02	212000	213000	1
SU1206_chr02	213000	214000	2
SU1206_chr02	214000	215000	2
SU1206_chr02	215000	216000	1
SU1206_chr02	216000	217000	1
SU1206_chr02	217000	218000	2
SU1206_chr02	218000	219000	2
SU1206_chr02	219000	220000	1
SU1206_chr02	220000	221000	1
SU1206_chr02	221000	222000	1
SU1206_chr02	222000	223000	1
SU1206_chr02	223000	224000	1
SU1206_chr02	224000	225000	1
SU1206_chr02	225000	226000	1
SU1206_chr02	226000	227000	1
SU1206_chr02	227000	228000	1
SU1206_chr02	228000	229000	2
SU1206_chr02	229000	230000	1
SU1206_chr02	230000	231000	1
SU1206_chr02	231000	232000	1
SU1206_chr02	232000	233000	0
SU1206_chr02	233000	234000	1
SU1206_chr02	234000	235000	1
SU1206_chr02	235000	236000	1
SU1206_chr02	236000	237000	1
SU1206_chr02	237000	238000	1
SU1206_chr02	238000	239000	1
SU1206_chr02	239000	240000	1
SU1206_chr02	240000	241000	1
SU1206_chr02	241000	242000	2
SU1206_chr02	242000	243000	1
SU1206_chr02	243000	244000	2
SU1206_chr02	244000	245000	0
SU1206_chr02	245000	246000	1
SU1206_chr02	246000	247000	1
SU1206_chr02	247000	248000	1
SU1206_chr02	248000	249000	1
SU1206_chr02	249000	250000	1
SU1206_chr02	250000	251000	0
SU1206_chr02	251000	252000	1
SU1206_chr02	252000	253000	2
SU1206_chr02	253000	254000	2
SU1206_chr02	254000	255000	1
SU1206_chr02	255000	256000	2
SU1206_chr02	256000	257000	1
SU1206_chr02	257000	258000	1
SU1206_chr02	258000	259000	1
SU1206_chr02	259000	260000	2
SU1206_chr02	260000	261000	2
SU1206_chr02	261000	262000	1
SU1206_chr02	262000	263000	0
SU1206_chr02	263000	264000	1
SU1206_chr02	264000	265000	1
SU1206_chr02	265000	266000	1
SU1206_chr02	266000	267000	1
SU1206_chr02	267000	268000	1
SU1206_chr02	268000	269000	0
SU1206_chr02	269000	270000	0
SU1206_chr02	270000	271000	1
SU1206_chr02	271000	272000	1
SU1206_chr02	272000	273000	1
SU1206_chr02	273000	274000	1
SU1206_chr02	274000	275000	1
SU1206_chr02	275000	276000	1
SU1206_chr02	276000	277000	1
SU1206_chr02	277000	278000	2
SU1206_chr02	278000	279000	1
SU1206_chr02	279000	280000	1
SU1206_chr02	280000	281000	2
SU1206_chr02	281000	282000	1
SU1206_chr02	282000	283000	1
SU1206_chr02	283000	284000	1
SU1206_chr02	284000	285000	1
SU1206_chr02	285000	286000	0
SU1206_chr02	286000	287000	1
SU1206_chr02	287000	288000	2
SU1206_chr02	288000	289000	1
SU1206_chr02	289000	290000	0
SU1206_chr02	290000	291000	1
SU1206_chr02	291000	292000	2
SU1206_chr02	292000	293000	1
SU1206_chr02	293000	294000	2
SU1206_chr02	294000	295000	1
SU1206_chr02	295000	296000	1
SU1206_chr02	296000	297000	1
SU1206_chr02	297000	298000	1
SU1206_chr02	298000	299000	1
SU1206_chr02	299000	300000	2
SU1206_chr02	300000	301000	1
SU1206_chr02	301000	302000	2
SU1206_chr02	302000	303000	1
SU1206_chr02	303000	304000	1
SU1206_chr02	304000	305000	3
SU1206_chr02	305000	306000	1
SU1206_chr02	306000	307000	1
SU1206_chr02	307000	308000	1
SU1206_chr02	308000	309000	2
SU1206_chr02	309000	310000	2
SU1206_chr02	310000	311000	1
SU1206_chr02	311000	312000	2
SU1206_chr02	312000	313000	1
SU1206_chr02	313000	314000	1
SU1206_chr02	314000	315000	1
SU1206_chr02	315000	316000	1
SU1206_chr02	316000	317000	1
SU1206_chr02	317000	318000	1
SU1206_chr02	318000	319000	2
SU1206_chr02	319000	320000	1
SU1206_chr02	320000	321000	2
SU1206_chr02	321000	322000	1
SU1206_chr02	322000	323000	1
SU1206_chr02	323000	324000	2
SU1206_chr02	324000	325000	1
SU1206_chr02	325000	326000	1
SU1206_chr02	326000	327000	1
SU1206_chr02	327000	328000	2
SU1206_chr02	328000	329000	1
SU1206_chr02	329000	330000	2
SU1206_chr02	330000	331000	2
SU1206_chr02	331000	332000	0
SU1206_chr02	332000	333000	0
SU1206_chr02	333000	334000	0
SU1206_chr02	334000	335000	0
SU1206_chr02	335000	336000	1
SU1206_chr02	336000	337000	1
SU1206_chr02	337000	338000	1
SU1206_chr02	338000	339000	1
SU1206_chr02	339000	340000	0
SU1206_chr02	340000	341000	0
SU1206_chr02	341000	342000	1
SU1206_chr02	342000	343000	1
SU1206_chr02	343000	344000	1
SU1206_chr02	344000	345000	0
SU1206_chr02	345000	346000	1
SU1206_chr02	346000	347000	1
SU1206_chr02	347000	348000	0
SU1206_chr02	348000	349000	0
SU1206_chr02	349000	350000	1
SU1206_chr02	350000	351000	1
SU1206_chr02	351000	352000	1
SU1206_chr02	352000	353000	1
SU1206_chr02	353000	354000	1
SU1206_chr02	354000	355000	2
SU1206_chr02	355000	356000	1
SU1206_chr02	356000	357000	1
SU1206_chr02	357000	358000	1
SU1206_chr02	358000	359000	0
SU1206_chr02	359000	360000	0
SU1206_chr02	360000	361000	1
SU1206_chr02	361000	362000	1
SU1206_chr02	362000	363000	2
SU1206_chr02	363000	364000	1
SU1206_chr02	364000	365000	1
SU1206_chr02	365000	366000	0
SU1206_chr02	366000	367000	0
SU1206_chr02	367000	368000	1
SU1206_chr02	368000	369000	1
SU1206_chr02	369000	370000	2
SU1206_chr02	370000	371000	1
SU1206_chr02	371000	372000	0
SU1206_chr02	372000	373000	1
SU1206_chr02	373000	374000	1
SU1206_chr02	374000	375000	1
SU1206_chr02	375000	376000	1
SU1206_chr02	376000	377000	1
SU1206_chr02	377000	378000	1
SU1206_chr02	378000	379000	2
SU1206_chr02	379000	380000	2
SU1206_chr02	380000	381000	1
SU1206_chr02	381000	382000	2
SU1206_chr02	382000	383000	1
SU1206_chr02	383000	384000	1
SU1206_chr02	384000	385000	1
SU1206_chr02	385000	386000	1
SU1206_chr02	386000	387000	1
SU1206_chr02	387000	388000	1
SU1206_chr02	388000	389000	1
SU1206_chr02	389000	390000	1
SU1206_chr02	390000	391000	1
SU1206_chr02	391000	392000	1
SU1206_chr02	392000	393000	2
SU1206_chr02	393000	394000	2
SU1206_chr02	394000	395000	2
SU1206_chr02	395000	396000	2
SU1206_chr02	396000	397000	2
SU1206_chr02	397000	398000	2
SU1206_chr02	398000	399000	2
SU1206_chr02	399000	400000	1
SU1206_chr02	400000	401000	1
SU1206_chr02	401000	402000	1
SU1206_chr02	402000	403000	1
SU1206_chr02	403000	404000	1
SU1206_chr02	404000	405000	1
SU1206_chr02	405000	406000	1
SU1206_chr02	406000	407000	1
SU1206_chr02	407000	408000	1
SU1206_chr02	408000	409000	1
SU1206_chr02	409000	410000	1
SU1206_chr02	410000	411000	2
SU1206_chr02	411000	412000	1
SU1206_chr02	412000	413000	1
SU1206_chr02	413000	414000	1
SU1206_chr02	414000	415000	1
SU1206_chr02	415000	416000	2
SU1206_chr02	416000	417000	2
SU1206_chr02	417000	418000	2
SU1206_chr02	418000	419000	1
SU1206_chr02	419000	420000	1
SU1206_chr02	420000	421000	2
SU1206_chr02	421000	422000	1
SU1206_chr02	422000	423000	1
SU1206_chr02	423000	424000	2
SU1206_chr02	424000	425000	1
SU1206_chr02	425000	426000	2
SU1206_chr02	426000	427000	2
SU1206_chr02	427000	428000	2
SU1206_chr02	428000	429000	1
SU1206_chr02	429000	430000	1
SU1206_chr02	430000	431000	2
SU1206_chr02	431000	432000	2
SU1206_chr02	432000	433000	1
SU1206_chr02	433000	434000	1
SU1206_chr02	434000	435000	0
SU1206_chr02	435000	436000	1
SU1206_chr02	436000	437000	1
SU1206_chr02	437000	438000	1
SU1206_chr02	438000	439000	1
SU1206_chr02	439000	440000	2
SU1206_chr02	440000	441000	1
SU1206_chr02	441000	442000	1
SU1206_chr02	442000	443000	1
SU1206_chr02	443000	444000	1
SU1206_chr02	444000	445000	1
SU1206_chr02	445000	446000	1
SU1206_chr02	446000	447000	1
SU1206_chr02	447000	448000	1
SU1206_chr02	448000	449000	1
SU1206_chr02	449000	450000	1
SU1206_chr02	450000	451000	1
SU1206_chr02	451000	452000	1
SU1206_chr02	452000	453000	2
SU1206_chr02	453000	454000	1
SU1206_chr02	454000	455000	1
SU1206_chr02	455000	456000	1
SU1206_chr02	456000	457000	2
SU1206_chr02	457000	458000	1
SU1206_chr02	458000	459000	0
SU1206_chr02	459000	460000	0
SU1206_chr02	460000	461000	0
SU1206_chr02	461000	462000	1
SU1206_chr02	462000	463000	1
SU1206_chr02	463000	464000	1
SU1206_chr02	464000	465000	1
SU1206_chr02	465000	466000	1
SU1206_chr02	466000	467000	1
SU1206_chr02	467000	468000	1
SU1206_chr02	468000	469000	2
SU1206_chr02	469000	470000	1
SU1206_chr02	470000	471000	1
SU1206_chr02	471000	472000	1
SU1206_chr02	472000	473000	2
SU1206_chr02	473000	474000	1
SU1206_chr02	474000	475000	2
SU1206_chr02	475000	476000	1
SU1206_chr02	476000	477000	0
SU1206_chr02	477000	478000	1
SU1206_chr02	478000	479000	1
SU1206_chr02	479000	480000	2
SU1206_chr02	480000	481000	1
SU1206_chr02	481000	482000	2
SU1206_chr02	482000	483000	1
SU1206_chr02	483000	484000	1
SU1206_chr02	484000	485000	1
SU1206_chr02	485000	486000	1
SU1206_chr02	486000	487000	1
SU1206_chr02	487000	488000	1
SU1206_chr02	488000	489000	1
SU1206_chr02	489000	490000	1
SU1206_chr02	490000	491000	2
SU1206_chr02	491000	492000	2
SU1206_chr02	492000	493000	1
SU1206_chr02	493000	494000	2
SU1206_chr02	494000	495000	1
SU1206_chr02	495000	496000	1
SU1206_chr02	496000	497000	1
SU1206_chr02	497000	498000	1
SU1206_chr02	498000	499000	1
SU1206_chr02	499000	500000	2
SU1206_chr02	500000	501000	1
SU1206_chr02	501000	502000	2
SU1206_chr02	502000	503000	1
SU1206_chr02	503000	504000	1
SU1206_chr02	504000	505000	1
SU1206_chr02	505000	506000	1
SU1206_chr02	506000	507000	2
SU1206_chr02	507000	508000	1
SU1206_chr02	508000	509000	1
SU1206_chr02	509000	510000	2
SU1206_chr02	510000	511000	1
SU1206_chr02	511000	512000	0
SU1206_chr02	512000	513000	2
SU1206_chr02	513000	514000	1
SU1206_chr02	514000	515000	1
SU1206_chr02	515000	516000	1
SU1206_chr02	516000	517000	1
SU1206_chr02	517000	518000	2
SU1206_chr02	518000	519000	1
SU1206_chr02	519000	520000	1
SU1206_chr02	520000	521000	1
SU1206_chr02	521000	522000	2
SU1206_chr02	522000	523000	1
SU1206_chr02	523000	524000	2
SU1206_chr02	524000	525000	1
SU1206_chr02	525000	526000	1
SU1206_chr02	526000	527000	1
SU1206_chr02	527000	528000	1
SU1206_chr02	528000	529000	1
SU1206_chr02	529000	530000	1
SU1206_chr02	530000	531000	0
SU1206_chr02	531000	532000	1
SU1206_chr02	532000	533000	1
SU1206_chr02	533000	534000	1
SU1206_chr02	534000	535000	1
SU1206_chr02	535000	536000	1
SU1206_chr02	536000	537000	1
SU1206_chr02	537000	538000	1
SU1206_chr02	538000	539000	2
SU1206_chr02	539000	540000	1
SU1206_chr02	540000	541000	1
SU1206_chr02	541000	542000	1
SU1206_chr02	542000	543000	1
SU1206_chr02	543000	544000	2
SU1206_chr02	544000	545000	1
SU1206_chr02	545000	546000	1
SU1206_chr02	546000	547000	1
SU1206_chr02	547000	548000	1
SU1206_chr02	548000	549000	2
SU1206_chr02	549000	550000	1
SU1206_chr02	550000	551000	1
SU1206_chr02	551000	552000	1
SU1206_chr02	552000	553000	2
SU1206_chr02	553000	554000	1
SU1206_chr02	554000	555000	1
SU1206_chr02	555000	556000	1
SU1206_chr02	556000	557000	1
SU1206_chr02	557000	558000	1
SU1206_chr02	558000	559000	1
SU1206_chr02	559000	560000	1
SU1206_chr02	560000	561000	1
SU1206_chr02	561000	562000	1
SU1206_chr02	562000	563000	1
SU1206_chr02	563000	564000	1
SU1206_chr02	564000	565000	1
SU1206_chr02	565000	566000	1
SU1206_chr02	566000	567000	1
SU1206_chr02	567000	568000	1
SU1206_chr02	568000	569000	1
SU1206_chr02	569000	570000	1
SU1206_chr02	570000	571000	1
SU1206_chr02	571000	572000	1
SU1206_chr02	572000	573000	1
SU1206_chr02	573000	574000	1
SU1206_chr02	574000	575000	2
SU1206_chr02	575000	576000	1
SU1206_chr02	576000	577000	1
SU1206_chr02	577000	578000	2
SU1206_chr02	578000	579000	1
SU1206_chr02	579000	580000	1
SU1206_chr02	580000	581000	2
SU1206_chr02	581000	582000	1
SU1206_chr02	582000	583000	2
SU1206_chr02	583000	584000	1
SU1206_chr02	584000	585000	1
SU1206_chr02	585000	586000	1
SU1206_chr02	586000	587000	2
SU1206_chr02	587000	588000	1
SU1206_chr02	588000	589000	1
SU1206_chr02	589000	590000	2
SU1206_chr02	590000	591000	2
SU1206_chr02	591000	592000	2
SU1206_chr02	592000	593000	2
SU1206_chr02	593000	594000	1
SU1206_chr02	594000	595000	1
SU1206_chr02	595000	596000	1
SU1206_chr02	596000	597000	2
SU1206_chr02	597000	598000	1
SU1206_chr02	598000	599000	1
SU1206_chr02	599000	600000	2
SU1206_chr02	600000	601000	2
SU1206_chr02	601000	602000	1
